Agro_1,Agro_2,Agro_3,Agro_4,Agro_5,Agro_6,Agro_7,Agro_8,Agro_9,Agro_10,Latitude,Longitude,Source_Node,Target_Node
60.24835707650561,47.79744651750769,65.39555447652455,0.0,0.47871837283533825,2.498348736814022,10.0,6.432150526951278,1.2587407028792845,4.6636385666777205,6.203679638157594,-75.40036631686253,4,17
60.080940383191944,48.076702425807376,66.14323734489794,25.002075251087522,0.46709975616058247,2.4731662237952423,10.006672226608265,6.469450053694635,1.1060509527623086,4.68374792201813,6.282309809661035,-75.47452479349442,14,21
60.62397431445884,48.00237806002681,66.34275486038045,49.94159580885127,0.4492585524890975,2.464547475922559,10.013348905077319,6.440261893895486,1.1836102472061267,8.353141152135441,6.165190308790887,-75.4769374955636,14,22
61.211672442453995,48.26773755250827,66.82601450776536,74.75616349056179,0.4392986361142748,2.500284062298444,10.020030038377548,6.511041804694612,1.1979169988309333,6.213966355896951,6.131334426869503,-75.46815152119802,8,25
60.483063235304726,47.912027538046985,65.70335306063646,99.3836927430919,0.43601562990005105,2.56417689504997,10.026715629481313,6.6197178531461915,1.2007954329199815,8.720976376268215,6.241746466512973,-75.34980534806658,5,26
60.63299377905803,48.66403791823799,67.23986557497902,123.76256597973158,0.4537587196266787,2.5927012615931484,10.033405681362966,6.422895784285879,1.2090248028039041,4.2545553006192485,6.207870883201379,-75.35782866530674,5,18
61.68951591949058,48.72028925199818,65.09682632078864,147.83178774616027,0.44833553885256466,2.597787422016737,10.040100196998836,6.600082049776842,1.2305219909904745,4.872550104667779,6.270917153761896,-75.45923626396302,6,26
61.43338405025936,48.594606759225876,66.71371416759654,171.53113732985628,0.41762302471717283,2.6726880105319584,10.046799179367241,6.421832792765311,1.1982296280477325,3.0018113520850287,6.116231849824943,-75.33061531637804,13,26
60.9645815958239,49.15722873156283,66.97745897795446,194.80131943111778,0.441424381647076,2.6570461868793824,10.053502631448485,6.415237278750311,1.181597085892816,3.7856497968656413,6.268738480687613,-75.44374104089435,12,29
61.62013086279351,49.36035171408839,67.92706470335045,217.58411251871934,0.42568257897477524,2.7085921537977278,10.060210556224867,6.581859461834322,1.1796205327670153,7.852869722993751,6.1586589306417645,-75.34140288333701,5,24
